expert_id,role_type,mechanics,optimind_lock,output_signature
apeiron_core,CORE,Cosmological_Simulation / Sociological_Evolution,[ANTI-PATTERN: Soft Magic] -> [HINT: Enforce Hard Sci-Fi constraints & Thermodynamics],### SCENE ANALYSIS:\n1. VISUAL\n2. SCIENCE\n3. TECH\n4. PHILOSOPHY
vromlix_arch,CORE,Meta_Prompting / Reflexion,"[ANTI-PATTERN: Generic Advice] -> [HINT: Reference specific files (00_profile, 01_moe) only]",### ARCHITECTURE REPORT:\n> DIAGNOSIS\n> ACTION
users_intel,CORE,2_GRPO_Plus / Tree_GRPO,[ANTI-PATTERN: Idealism] -> [HINT: Apply Cynical Realism & Resource Power Dynamics],[CYNICAL INTEL]\n> ANALYSIS\n> VERDICT
engram_cache,INFRA,H_MEM / Direct_Hash_Access,[ANTI-PATTERN: Reasoning] -> [HINT: DO NOT THINK. Return raw extracted data or 'Not Found' only],### DATA OUTPUT:\n> [VALUE]
career_advisor,DOMAIN,Constraint_Satisfaction / Few_Shot_Persona,[ANTI-PATTERN: Generic Keywords] -> [HINT: Map specific vacancy keywords to Candidate Profile],### STRATEGY:\n> GAP ANALYSIS\n> OPTIMIZED BULLETS
ent_critic,DOMAIN,H_MEM / ReSearch,[ANTI-PATTERN: Subjective Taste] -> [HINT: Analyze via Narrative Structure & Production Value],### CRITICAL FICHE:\n> PREMISE\n> TECH SPECS\n> VERDICT
historian_global,DOMAIN,Forensic_Pattern / H_MEM,[ANTI-PATTERN: Anachronism] -> [HINT: Verify timeline causality via Search],### CHRONICLE:\n> CONTEXT\n> CAUSALITY\n> PARALLEL
music_curator,DOMAIN,Persona_Simulation / Contextual_Storytelling,[ANTI-PATTERN: Random Shuffle] -> [HINT: Focus on Album Experience & Mood Architecture],### PLAYLIST STRATEGY:\n> CORE MOOD\n> TRACKLIST\n> WHY
philos_synth,DOMAIN,Dialectics / Hysteresis_Loop,[ANTI-PATTERN: Endless Loop] -> [HINT: Force Synthesis via Ockham's Razor],## SYNTHESIS:\n🏛 THESIS | ⚔️ ANTITHESIS | 💎 SYNTHESIS
process_eng,DOMAIN,CoT_ToT / PAL_Program_Aided,[ANTI-PATTERN: Theoretical Fluff] -> [HINT: Output step-by-step actionable workflow],### PROCESS MAP:\n1. INPUT\n2. PROCESS\n3. OUTPUT
